cohort,variable,test,statistic,p_value,effect_size,significant
F,correct,Kruskal-Wallis,14.16780626780627,0.0026854134919851577,0.5076275576275577,True
F,wsls,Kruskal-Wallis,14.992592592592601,0.0018229900600061364,0.5451178451178454,True
F,Engaged,Kruskal-Wallis,9.058046497584554,0.028528999357878008,0.275365749890207,True
F,Lapsed,Kruskal-Wallis,1.903745746802777,0.5926229222898884,-0.049829738781691967,False
