Schedule.name,Schedule.run.date,Animal ID,Max_Schedule_Time,End.Summary...Condition..1.,End.Summary...Session Time..1.,End Summary...Trials.Completed..1.,End.Summary.....Correct..1.,End.Summary...Left.ITI.Touches..1.,End.Summary...Right.ITI.Touches..1.,End Summary...Left.Blank.Touches...Generic.Counter..1.,End.Summary...Right.Blank.Touches...Generic Counter..1.,Correct.touch.latency,Correct.Reward.Collection,Blank.Touch.Latency,10 Trial Block - Percentage Correct (1),10 Trial Block - Percentage Correct (2),10 Trial Block - Percentage Correct (3),No trials to criterion - Condition (1),No trials to criterion - Condition (2),No trials to criterion - Generic Evaluation (1),No trials to criterion - Generic Evaluation (2),End Summary - Times Criteria reached (1),Trial Analysis - No. Correct (1),Trial Analysis - No. Correct (2),Trial Analysis - No. Correct (3),Trial Analysis - No. Correct (4),Trial Analysis - No. Correct (5),Trial Analysis - No. Correct (6),Trial Analysis - No. Correct (7),Trial Analysis - No. Correct (8),Trial Analysis - No. Correct (9),Trial Analysis - No. Correct (10),Trial Analysis - No. Correct (11),Trial Analysis - No. Correct (12),Trial Analysis - No. Correct (13),Trial Analysis - No. Correct (14),Trial Analysis - No. Correct (15),Trial Analysis - No. Correct (16),Trial Analysis - No. Correct (17),Trial Analysis - No. Correct (18),Trial Analysis - No. Correct (19),Trial Analysis - No. Correct (20),Trial Analysis - No. Correct (21),Trial Analysis - No. Correct (22),Trial Analysis - No. Correct (23),Trial Analysis - No. Correct (24),Trial Analysis - No. Correct (25),Trial Analysis - No. Correct (26),Trial Analysis - No. Correct (27),Trial Analysis - No. Correct (28),Trial Analysis - No. Correct (29),Trial Analysis - No. Correct (30),Day,Sex,Strain,Second_Criterion_Count,,,No trials to criterion - Generic Evaluation (1),No.trials.to.criterion...Generic.Evaluation..2.,End.Summary...Times.Criteria.reached..1.
A_Mouse LD 1 choice reversal v3,5/28/2025 14:38,c2m2,1620,870.31,870.31,30,40,8,20,29,22,38.09,11.952,94.055,70,10,40,127.477,,8,,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,10,F,+,0,,,8,,1
A_Mouse LD 1 choice reversal v3,5/29/2025 15:50,c2m2,1620,633.955,633.955,30,70,3,11,12,14,71.996,22.776,23.609,90,60,60,149.248,,8,,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,0,0,0,1,1,1,0,0,1,0,1,1,11,F,+,1,,,8,,1
A_Mouse LD 1 choice reversal v3,5/30/2025 14:32,c2m2,1620,699.718,699.718,30,53.333,6,17,11,20,61.132,18.01,82.227,70,20,70,139.776,,8,,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,1,1,0,0,1,1,12,F,+,1,,,8,,1
A_Mouse LD 1 choice reversal v3,6/2/2025 14:55,c2m2,1620,810.42,810.42,30,43.333,6,9,15,10,33.508,10.931,64.06,40,30,60,,,,,0,1,0,0,0,0,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,1,13,F,+,0,,,,,0
A_Mouse LD 1 choice reversal v3,6/3/2025 15:12,c2m2,1620,607.066,607.066,30,60,4,22,10,16,49.131,19.299,26.698,80,60,40,155.452,445.977,8,13,2,1,1,1,1,1,1,1,0,1,0,0,0,0,1,0,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,14,F,+,1,,,8,13,2
A_Mouse LD 1 choice reversal v3,6/4/2025 15:00,c2m2,1620,579.248,579.248,30,63.333,19,14,16,15,46.965,16.812,27.95,80,70,40,153.153,333.259,8,10,2,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1,1,0,0,15,F,+,0,,,8,10,2
A_Mouse LD 1 choice reversal v3,6/3/2025 15:12,c2m3,1620,634.741,634.741,30,36.667,2,2,11,1,36.774,12.311,73.916,80,30,0,137.906,,8,,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,F,+,0,,,8,,1
A_Mouse LD 1 choice reversal v3,6/4/2025 15:00,c2m3,1620,873.144,873.144,30,36.667,7,3,19,5,87.946,17.46,207.693,70,0,40,164.856,,8,,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,2,F,+,0,,,8,,1
A_Mouse LD 1 choice reversal v3,5/8/2025 15:06,c2m4,1620,858.817,858.817,30,50,12,9,20,16,73.819,24.029,57.747,90,30,30,134.535,,8,,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,F,+,0,,,8,,1
A_Mouse LD 1 choice reversal v3,5/9/2025 13:23,c2m4,1620,814.605,814.605,30,46.667,5,9,11,14,55.537,22.491,47.752,80,30,30,151.606,,8,,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0,2,F,+,0,,,8,,1
A_Mouse LD 1 choice reversal v3,5/10/2025 17:15,c2m4,1620,687.621,687.621,30,46.667,9,8,13,6,73.134,20.42,81.513,10,70,60,621.739,,27,,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,1,1,1,1,1,0,1,1,0,0,0,3,F,+,0,,,27,,1
A_Mouse LD 1 choice reversal v3,5/11/2025 17:54,c2m4,1620,726.057,726.057,30,66.667,5,13,16,19,52.101,61.239,24.158,80,60,60,138.324,,8,,1,1,0,1,1,1,1,1,1,0,1,0,1,0,1,1,0,1,1,1,0,0,1,0,1,1,1,0,1,0,1,4,F,+,0,,,8,,1
A_Mouse LD 1 choice reversal v3,5/12/2025 14:10,c2m4,1620,838.167,838.167,30,66.667,3,13,15,22,72.382,29.182,23.844,70,60,70,292.227,,13,,1,1,0,1,1,0,0,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,0,0,1,1,1,0,1,1,1,5,F,+,0,,,13,,1
A_Mouse LD 1 choice reversal v3,5/14/2025 15:34,c2m4,1620,906.927,906.927,30,63.333,4,2,16,9,57.644,32.102,39.046,50,80,60,,,,,0,0,0,1,0,1,1,1,1,0,0,1,1,1,1,0,1,0,1,1,1,0,0,0,0,1,1,1,1,1,1,6,F,+,0,,,,,0
A_Mouse LD 1 choice reversal v3,5/15/2025 13:44,c2m4,1620,769.639,769.639,30,56.667,5,7,19,10,38.008,35.834,33.531,60,60,50,574.953,,23,,1,0,0,0,1,1,1,1,1,1,0,0,0,1,1,0,0,1,1,1,1,1,1,1,0,0,1,0,0,1,0,7,F,+,0,,,23,,1
A_Mouse LD 1 choice reversal v3,5/16/2025 14:56,c2m4,1620,804.649,804.649,30,36.667,3,5,12,12,29.882,15.071,61.092,80,10,20,177.308,,8,,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,8,F,+,0,,,8,,1
A_Mouse LD 1 choice reversal v3,5/19/2025 14:23,c2m4,1620,992.94,992.94,30,40,6,3,14,18,49.75,17.74,45.736,70,0,50,225.798,,8,,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,9,F,+,0,,,8,,1
A_Mouse LD 1 choice reversal v3,5/20/2025 14:43,c2m4,1620,863.382,863.382,30,30,3,6,14,22,20.446,11.695,51.818,80,0,10,168.349,,8,,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10,F,+,0,,,8,,1
A_Mouse LD 1 choice reversal v3,5/21/2025 15:54,c2m4,1620,670.049,670.049,30,50,10,15,16,30,71.667,27.236,38.417,70,30,50,155.689,,8,,1,1,1,1,1,1,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,1,1,1,0,0,11,F,+,0,,,8,,1
A_Mouse LD 1 choice reversal v3,5/22/2025 15:18,c2m4,1620,719.493,719.493,30,50,5,16,8,20,49.913,21.55,35.884,80,40,30,183.516,,8,,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,12,F,+,0,,,8,,1
A_Mouse LD 1 choice reversal v3,5/27/2025 16:20,c2m4,1620,705.449,705.449,30,56.667,4,6,7,11,40.085,22.768,24.996,60,70,40,473.042,,21,,1,1,0,1,0,1,1,1,0,1,0,1,0,0,0,1,1,1,1,1,1,1,0,1,0,1,0,1,0,0,0,13,F,+,0,,,21,,1
A_Mouse LD 1 choice reversal v3,5/28/2025 14:38,c2m4,1620,708.253,708.253,30,60,10,7,14,18,58.84,25.497,34.794,80,60,40,149.227,,8,,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,14,F,+,0,,,8,,1
A_Mouse LD 1 choice reversal v3,5/29/2025 15:50,c2m4,1620,765.745,765.745,30,66.667,2,3,8,18,61.739,27.992,64.478,100,70,30,204.451,459.944,8,11,2,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,15,F,+,1,,,8,11,2
A_Mouse LD 1 choice reversal v3,5/30/2025 14:32,c2m4,1620,794.579,794.579,30,46.667,2,3,9,11,56.28,16.676,54.22,50,30,60,,,,,0,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,1,0,1,1,0,1,16,F,+,0,,,,,0
A_Mouse LD 1 choice reversal v3,6/2/2025 14:55,c2m4,1620,737.391,737.391,30,33.333,10,6,8,13,27.615,13.898,82.566,50,20,30,212.086,,12,,1,0,0,0,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,17,F,+,0,,,12,,1
A_Mouse LD 1 choice reversal v3,6/3/2025 15:12,c2m4,1620,691.001,691.001,30,50,5,3,9,9,48.197,19.404,41.498,80,40,30,155.107,,8,,1,1,1,1,1,1,0,1,1,1,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,1,18,F,+,0,,,8,,1
A_Mouse LD 1 choice reversal v3,6/4/2025 15:00,c2m4,1620,708.642,708.642,30,56.667,2,4,10,8,40.196,27.714,38.618,60,70,40,303.013,,15,,1,1,1,1,1,0,0,0,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,1,0,1,0,1,0,0,1,19,F,+,0,,,15,,1
A_Mouse LD 1 choice reversal v3,5/28/2025 14:38,c2m5,1620,600.426,600.426,30,46.667,8,6,3,9,38.473,16.094,30.821,80,30,30,174.073,,11,,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,F,+,0,,,11,,1
A_Mouse LD 1 choice reversal v3,5/29/2025 15:50,c2m5,1620,639.164,639.164,30,43.333,6,7,11,9,37.743,12.092,45.846,70,20,40,174.178,,10,,1,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,1,0,2,F,+,0,,,10,,1
A_Mouse LD 1 choice reversal v3,5/30/2025 14:32,c2m5,1620,630.909,630.909,30,40,8,17,7,26,20.42,17.093,41.676,70,10,40,157.069,,9,,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,3,F,+,0,,,9,,1
A_Mouse LD 1 choice reversal v3,6/2/2025 14:55,c2m5,1620,665.091,665.091,30,56.667,11,12,13,17,41.062,16.455,33.88,80,40,50,158.93,,9,,1,0,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1,0,0,0,1,0,1,0,1,1,0,0,0,1,1,4,F,+,0,,,9,,1
A_Mouse LD 1 choice reversal v3,6/3/2025 15:12,c2m5,1620,561.047,561.047,30,60,6,6,6,8,35.93,18.943,21.827,80,50,50,185.797,,10,,1,1,0,1,1,0,1,1,1,1,1,0,1,1,0,1,1,0,1,0,0,1,0,0,1,1,1,0,0,1,0,5,F,+,0,,,10,,1
A_Mouse LD 1 choice reversal v3,6/4/2025 15:00,c2m5,1620,568.079,568.079,30,46.667,8,8,3,16,36.093,17.819,21.785,20,50,70,,,,,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,1,1,0,1,1,0,0,1,1,1,0,1,1,6,F,+,0,,,,,0
A_Mouse LD 1 choice reversal v3,5/16/2025 14:25,c3m1,1620,1251.154,1251.154,30,33.333,3,0,4,3,36.662,10.598,408.869,80,20,0,199.581,,8,,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,M,-,0,,,8,,1
A_Mouse LD 1 choice reversal v3,5/19/2025 13:50,c3m1,1620,844.292,844.292,30,33.333,3,4,11,7,33.363,14.902,119.612,80,10,10,154.581,,8,,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,M,-,0,,,8,,1
A_Mouse LD 1 choice reversal v3,5/20/2025 13:49,c3m1,1620,1050.708,1050.708,30,43.333,2,10,6,10,216.233,15.381,110.965,70,20,40,199.174,,8,,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,3,M,-,0,,,8,,1
A_Mouse LD 1 choice reversal v3,5/21/2025 15:11,c3m1,1620,1620.006,1620.006,27,59.259,2,5,11,19,501.086,34.778,103.448,80,50,,266.802,,8,,1,1,1,0,1,1,1,1,1,1,0,0,1,0,0,1,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,4,M,-,0,,,8,,1
A_Mouse LD 1 choice reversal v3,5/22/2025 14:44,c3m1,1620,1475.131,1475.131,30,53.333,2,9,10,21,285.068,19.704,255.052,80,40,40,203.545,,8,,1,1,1,0,1,1,1,1,1,0,1,1,0,1,0,0,1,1,0,0,0,0,1,1,0,1,0,1,0,0,0,5,M,-,0,,,8,,1
A_Mouse LD 1 choice reversal v3,5/27/2025 15:43,c3m1,900,900.004,900.004,28,64.286,8,6,14,5,173.21,24.298,100.025,80,60,,242.061,,8,,1,1,1,0,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,1,0,1,0,0,1,0,1,0,1,0,0,6,M,-,1,,,8,,1
A_Mouse LD 1 choice reversal v3,5/28/2025 14:10,c3m1,1620,836.892,836.892,30,70,4,5,9,16,73.359,25.725,31.602,80,70,60,307.828,,11,,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,0,0,1,1,0,1,1,1,0,1,7,M,-,0,,,11,,1
A_Mouse LD 1 choice reversal v3,5/29/2025 15:20,c3m1,1620,852.499,852.499,30,53.333,15,9,32,32,80.266,20.23,50.312,70,50,40,313.346,,12,,1,1,0,0,0,1,1,1,1,1,1,0,1,0,0,1,1,0,1,1,0,1,1,0,0,1,0,0,0,1,0,8,M,-,0,,,12,,1
A_Mouse LD 1 choice reversal v3,5/30/2025 13:57,c3m1,1620,1057.044,1057.044,30,43.333,0,3,3,17,98.548,31.124,181.854,30,40,60,,,,,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,1,0,0,1,0,1,1,0,0,1,1,1,9,M,-,0,,,,,0
A_Mouse LD 1 choice reversal v3,6/2/2025 14:22,c3m1,1620,801.601,801.601,30,63.333,7,1,5,7,140.434,24.137,29.689,60,50,80,,,,,0,1,1,0,0,1,1,1,1,0,0,0,1,1,0,1,0,0,0,1,1,1,1,1,0,0,1,1,1,1,1,10,M,-,0,,,,,0
A_Mouse LD 1 choice reversal v3,6/3/2025 14:43,c3m1,1620,749.814,749.814,30,43.333,6,7,4,10,57.577,16.911,58.593,80,30,20,173.918,,8,,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,11,M,-,0,,,8,,1
A_Mouse LD 1 choice reversal v3,6/4/2025 14:20,c3m1,1620,1054.958,1054.958,30,36.667,3,9,5,12,22.347,32.364,321.478,80,10,20,165.615,,8,,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,12,M,-,0,,,8,,1
A_Mouse LD 1 choice reversal v3,5/15/2025 13:08,c3m2,1620,1620,1620,29,34.483,9,0,9,6,282.855,14.976,304.679,70,0,,254.859,,8,,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,M,-,0,,,8,,1
A_Mouse LD 1 choice reversal v3,5/16/2025 14:25,c3m2,1620,1260.872,1260.872,30,26.667,2,3,10,8,69.432,9.764,275.715,70,0,10,290.395,,8,,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,M,-,0,,,8,,1
A_Mouse LD 1 choice reversal v3,5/19/2025 13:50,c3m2,1620,1243.746,1243.746,30,40,4,8,6,20,128.27,65.142,285.72,80,30,10,344.27,,10,,1,1,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,3,M,-,0,,,10,,1
A_Mouse LD 1 choice reversal v3,5/20/2025 13:49,c3m2,1620,1502.543,1502.543,30,33.333,12,11,19,17,55.946,14.02,225.787,70,0,30,265.524,,8,,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,4,M,-,0,,,8,,1
A_Mouse LD 1 choice reversal v3,5/21/2025 15:11,c3m2,1620,1177.589,1177.589,30,50,6,16,17,17,104.197,24.932,68.277,80,40,30,491.494,,12,,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,5,M,-,0,,,12,,1
A_Mouse LD 1 choice reversal v3,5/22/2025 14:44,c3m2,1620,1362.032,1362.032,30,50,5,5,13,20,111.817,90.852,153.109,60,70,20,503.556,,14,,1,1,0,0,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,6,M,-,0,,,14,,1
A_Mouse LD 1 choice reversal v3,5/27/2025 15:43,c3m2,900,830.076,830.076,30,40,13,4,19,10,30.534,24.099,50.812,80,20,20,245.761,,8,,1,0,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,7,M,-,0,,,8,,1
A_Mouse LD 1 choice reversal v3,5/28/2025 14:10,c3m2,1620,901.307,901.307,30,66.667,7,0,10,8,105.31,31.043,51.946,80,70,50,750.773,,25,,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,0,0,0,0,8,M,-,0,,,25,,1
A_Mouse LD 1 choice reversal v3,5/29/2025 15:20,c3m2,1620,1154.651,1154.651,30,53.333,2,11,9,17,120.903,25.921,212.89,90,50,20,169.916,,8,,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,9,M,-,0,,,8,,1
A_Mouse LD 1 choice reversal v3,5/30/2025 13:57,c3m2,1620,1170.206,1170.206,30,40,3,10,15,24,137.645,15.209,111.075,70,20,30,166.923,,8,,1,1,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,10,M,-,0,,,8,,1
A_Mouse LD 1 choice reversal v3,6/2/2025 14:22,c3m2,1620,1154.518,1154.518,30,56.667,7,15,15,30,143.403,26.239,80.64,80,60,30,333.448,,10,,1,1,0,1,1,1,1,1,0,1,1,1,0,0,1,1,1,0,1,1,0,0,0,0,1,0,0,1,0,0,1,11,M,-,0,,,10,,1
A_Mouse LD 1 choice reversal v3,6/3/2025 14:43,c3m2,1620,984.44,984.44,30,66.667,6,4,16,10,140.411,36.15,42.455,80,60,60,485.699,,16,,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,0,0,1,0,1,0,1,1,1,0,1,0,1,0,12,M,-,0,,,16,,1
A_Mouse LD 1 choice reversal v3,6/4/2025 14:20,c3m2,1620,823.467,823.467,30,66.667,2,5,8,8,64.888,30.695,62.244,50,70,80,823.456,,30,,1,1,1,0,0,1,1,0,0,1,0,1,1,1,0,1,0,1,0,1,1,1,0,1,1,1,0,1,1,1,1,13,M,-,0,,,30,,1
A_Mouse LD 1 choice reversal v3,5/21/2025 15:11,c3m3,1620,1586.983,1586.983,30,26.667,4,5,14,8,46.526,8.865,765.56,80,0,0,234.088,,8,,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,M,-,0,,,8,,1
A_Mouse LD 1 choice reversal v3,5/22/2025 14:44,c3m3,1620,1620,1620,28,39.286,1,1,6,6,177.944,17.332,731.307,80,20,,667.828,,12,,1,1,1,1,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,M,-,0,,,12,,1
A_Mouse LD 1 choice reversal v3,5/27/2025 15:43,c3m3,900,900,900,24,43,12,3,11,7,65.061,13.536,291.938,70,0,,246.797,,9,,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,M,-,0,,,9,,1
A_Mouse LD 1 choice reversal v3,5/28/2025 14:10,c3m3,1620,1091.715,1091.715,30,46.667,6,4,10,8,207.233,19.616,156.998,80,30,30,182.624,,8,,1,1,0,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,4,M,-,0,,,8,,1
A_Mouse LD 1 choice reversal v3,5/29/2025 15:20,c3m3,1620,1151.176,1151.176,30,43.333,5,3,16,11,236.223,30.125,134.014,70,20,40,368.326,,11,,1,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,5,M,-,0,,,11,,1
A_Mouse LD 1 choice reversal v3,5/30/2025 13:57,c3m3,1620,1327.803,1327.803,30,53.333,2,9,9,19,173.623,31.361,124.504,70,40,50,242.303,,8,,1,1,1,0,1,1,1,1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,1,6,M,-,0,,,8,,1
A_Mouse LD 1 choice reversal v3,6/2/2025 14:22,c3m3,1620,1389.144,1389.144,30,60,6,5,6,14,195.889,31.939,118.829,50,70,60,1107.106,,24,,1,1,0,0,1,1,1,0,0,1,0,1,1,0,1,1,0,0,1,1,1,1,1,1,1,0,1,0,1,0,0,7,M,-,0,,,24,,1
A_Mouse LD 1 choice reversal v3,6/3/2025 14:43,c3m3,1620,1289.304,1289.304,30,50,2,16,20,18,158.853,33.813,109.338,80,40,30,291.422,,8,,1,1,1,1,1,0,1,1,1,0,1,0,1,1,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,8,M,-,0,,,8,,1
A_Mouse LD 1 choice reversal v3,6/4/2025 14:20,c3m3,1620,1188.884,1188.884,30,50,3,2,12,14,110.281,23.519,140.367,70,50,30,549.707,,15,,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,9,M,-,0,,,15,,1
A_Mouse LD 1 choice reversal v3,5/21/2025 15:11,c3m4,1620,892.619,892.619,30,40,6,5,21,15,42.422,16.789,43.743,70,30,20,218.092,,8,,1,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,M,-,0,,,8,,1
A_Mouse LD 1 choice reversal v3,5/22/2025 14:44,c3m4,1620,1087.757,1087.757,30,33.333,12,4,14,28,27.168,14.071,59.358,80,10,10,249.128,,8,,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,M,-,0,,,8,,1
A_Mouse LD 1 choice reversal v3,5/27/2025 15:43,c3m4,900,900,900,30,61.538,4,1,19,17,29.604,23.729,48.633,70,80,,655.147,,19,,1,1,1,0,1,1,1,0,1,1,0,0,1,1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,3,M,-,0,,,19,,1
A_Mouse LD 1 choice reversal v3,5/28/2025 14:10,c3m4,1620,838.293,838.293,30,50,5,1,8,8,92.232,22.634,41.011,60,60,30,373.324,,15,,1,0,1,0,1,1,1,0,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,4,M,-,0,,,15,,1
A_Mouse LD 1 choice reversal v3,5/29/2025 15:20,c3m4,1620,815.265,815.265,30,60,3,3,13,11,53.202,29.327,34.42,70,70,40,614.205,,22,,1,1,1,1,1,1,0,0,0,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,0,5,M,-,0,,,22,,1
A_Mouse LD 1 choice reversal v3,5/30/2025 13:57,c3m4,1620,838.732,838.732,30,60,1,1,10,7,72.829,24.334,40.475,70,60,50,718.515,,24,,1,1,0,1,1,1,1,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,1,1,1,0,0,0,1,0,0,6,M,-,0,,,24,,1
A_Mouse LD 1 choice reversal v3,6/2/2025 14:22,c3m4,1620,1027.529,1027.529,30,40,6,3,31,22,39.423,21.251,81.322,70,20,30,256.728,,8,,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,7,M,-,0,,,8,,1
A_Mouse LD 1 choice reversal v3,6/3/2025 14:43,c3m4,1620,1023.631,1023.631,30,63.333,3,3,16,14,104.938,38.836,48.497,80,70,40,787.862,,22,,1,1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,1,8,M,-,0,,,22,,1
A_Mouse LD 1 choice reversal v3,6/4/2025 14:20,c3m4,1620,865.072,865.072,30,53.333,5,5,19,20,69.78,22.407,37.374,90,30,40,188.501,,8,,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,9,M,-,0,,,8,,1
A_Mouse LD 1 choice reversal v3,5/27/2025 16:20,c3m5,1620,818.553,818.553,30,26.667,6,3,7,6,17.987,9.332,126.496,80,0,0,155.893,,8,,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,M,-,0,,,8,,1
A_Mouse LD 1 choice reversal v3,5/28/2025 14:38,c3m5,1620,1106.973,1106.973,30,30,1,1,5,6,58.701,13.786,105.956,80,10,0,445.017,,11,,1,1,1,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,M,-,0,,,11,,1
A_Mouse LD 1 choice reversal v3,5/29/2025 15:50,c3m5,1620,1178.13,1178.13,30,36.667,1,4,10,7,144.206,17.248,111.68,70,10,30,300.801,,8,,1,1,1,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,3,M,-,0,,,8,,1
A_Mouse LD 1 choice reversal v3,5/30/2025 14:32,c3m5,1620,904.961,904.961,30,43.333,5,2,17,9,76.304,24.407,108.157,80,30,20,237.691,,8,,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,4,M,-,0,,,8,,1
