Schedule name,Environment name,Schedule run date,Animal ID,Max_Schedule_Time,End Summary - Condition (1),End Summary - Trials Completed (1),End Summary - No Correction Trials (1),End Summary - % Correct (1),End Summary - Left ITI Touches (1),End Summary - Right ITI Touches (1),Correct touch latency (1),Correct touch latency (2),Correct touch latency (3),Correct touch latency (4),Correct touch latency (5),Correct touch latency (6),Correct touch latency (7),Correct touch latency (8),Correct touch latency (9),Correct touch latency (10),Correct touch latency (11),Correct touch latency (12),Correct touch latency (13),Correct touch latency (14),Correct touch latency (15),Correct touch latency (16),Correct touch latency (17),Correct touch latency (18),Correct touch latency (19),Correct touch latency (20),Correct touch latency (21),Correct touch latency (22),Correct touch latency (23),Correct touch latency (24),Correct touch latency (25),Correct touch latency (26),Correct touch latency (27),Correct touch latency (28),Correct touch latency (29),Correct touch latency (30),Incorrect Touch Latency (1),Incorrect Touch Latency (2),Incorrect Touch Latency (3),Incorrect Touch Latency (4),Incorrect Touch Latency (5),Incorrect Touch Latency (6),Incorrect Touch Latency (7),Incorrect Touch Latency (8),Incorrect Touch Latency (9),Incorrect Touch Latency (10),Incorrect Touch Latency (11),Incorrect Touch Latency (12),Incorrect Touch Latency (13),Incorrect Touch Latency (14),Incorrect Touch Latency (15),Incorrect Touch Latency (16),Incorrect Touch Latency (17),Incorrect Touch Latency (18),Incorrect Touch Latency (19),Incorrect Touch Latency (20),Incorrect Touch Latency (21),Incorrect Touch Latency (22),Incorrect Touch Latency (23),Incorrect Touch Latency (24),Incorrect Touch Latency (25),Incorrect Touch Latency (26),Incorrect Touch Latency (27),Incorrect Touch Latency (28),Incorrect Touch Latency (29),Incorrect Touch Latency (30),Incorrect Touch Latency (31),Incorrect Touch Latency (32),Incorrect Touch Latency (33),Incorrect Touch Latency (34),Incorrect Touch Latency (35),Incorrect Touch Latency (36),Incorrect Touch Latency (37),Incorrect Touch Latency (38),Incorrect Touch Latency (39),Incorrect Touch Latency (40),Incorrect Touch Latency (41),Incorrect Touch Latency (42),Incorrect Touch Latency (43),Incorrect Touch Latency (44),Incorrect Touch Latency (45),Incorrect Touch Latency (46),Incorrect Touch Latency (47),Incorrect Touch Latency (48),Incorrect Touch Latency (49),Incorrect Touch Latency (50),Incorrect Touch Latency (51),Incorrect Touch Latency (52),Incorrect Touch Latency (53),Correct Left touch latency (1),Correct Left touch latency (2),Correct Left touch latency (3),Correct Left touch latency (4),Correct Left touch latency (5),Correct Left touch latency (6),Correct Left touch latency (7),Correct Left touch latency (8),Correct Left touch latency (9),Correct Left touch latency (10),Correct Left touch latency (11),Correct Left touch latency (12),Correct Left touch latency (13),Correct Left touch latency (14),Correct Left touch latency (15),Correct Right touch latency (1),Correct Right touch latency (2),Correct Right touch latency (3),Correct Right touch latency (4),Correct Right touch latency (5),Correct Right touch latency (6),Correct Right touch latency (7),Correct Right touch latency (8),Correct Right touch latency (9),Correct Right touch latency (10),Correct Right touch latency (11),Correct Right touch latency (12),Correct Right touch latency (13),Correct Right touch latency (14),Correct Right touch latency (15),Correct Reward Collection (1),Correct Reward Collection (2),Correct Reward Collection (3),Correct Reward Collection (4),Correct Reward Collection (5),Correct Reward Collection (6),Correct Reward Collection (7),Correct Reward Collection (8),Correct Reward Collection (9),Correct Reward Collection (10),Correct Reward Collection (11),Correct Reward Collection (12),Correct Reward Collection (13),Correct Reward Collection (14),Correct Reward Collection (15),Correct Reward Collection (16),Correct Reward Collection (17),Correct Reward Collection (18),Correct Reward Collection (19),Correct Reward Collection (20),Correct Reward Collection (21),Correct Reward Collection (22),Correct Reward Collection (23),Correct Reward Collection (24),Correct Reward Collection (25),Correct Reward Collection (26),Correct Reward Collection (27),Correct Reward Collection (28),Correct Reward Collection (29),Correct Reward Collection (30),1 Trial analysis - Condition (1),1 Trial analysis - Condition (2),1 Trial analysis - Condition (3),1 Trial analysis - Condition (4),1 Trial analysis - Condition (5),1 Trial analysis - Condition (6),1 Trial analysis - Condition (7),1 Trial analysis - Condition (8),1 Trial analysis - Condition (9),1 Trial analysis - Condition (10),1 Trial analysis - Condition (11),1 Trial analysis - Condition (12),1 Trial analysis - Condition (13),1 Trial analysis - Condition (14),1 Trial analysis - Condition (15),1 Trial analysis - Condition (16),1 Trial analysis - Condition (17),1 Trial analysis - Condition (18),1 Trial analysis - Condition (19),1 Trial analysis - Condition (20),1 Trial analysis - Condition (21),1 Trial analysis - Condition (22),1 Trial analysis - Condition (23),1 Trial analysis - Condition (24),1 Trial analysis - Condition (25),1 Trial analysis - Condition (26),1 Trial analysis - Condition (27),1 Trial analysis - Condition (28),1 Trial analysis - Condition (29),1 Trial analysis - Condition (30),1 Trial analysis - No. Correct (1),1 Trial analysis - No. Correct (2),1 Trial analysis - No. Correct (3),1 Trial analysis - No. Correct (4),1 Trial analysis - No. Correct (5),1 Trial analysis - No. Correct (6),1 Trial analysis - No. Correct (7),1 Trial analysis - No. Correct (8),1 Trial analysis - No. Correct (9),1 Trial analysis - No. Correct (10),1 Trial analysis - No. Correct (11),1 Trial analysis - No. Correct (12),1 Trial analysis - No. Correct (13),1 Trial analysis - No. Correct (14),1 Trial analysis - No. Correct (15),1 Trial analysis - No. Correct (16),1 Trial analysis - No. Correct (17),1 Trial analysis - No. Correct (18),1 Trial analysis - No. Correct (19),1 Trial analysis - No. Correct (20),1 Trial analysis - No. Correct (21),1 Trial analysis - No. Correct (22),1 Trial analysis - No. Correct (23),1 Trial analysis - No. Correct (24),1 Trial analysis - No. Correct (25),1 Trial analysis - No. Correct (26),1 Trial analysis - No. Correct (27),1 Trial analysis - No. Correct (28),1 Trial analysis - No. Correct (29),1 Trial analysis - No. Correct (30),1 Trial analysis - Percentage Correct (1),1 Trial analysis - Percentage Correct (2),1 Trial analysis - Percentage Correct (3),1 Trial analysis - Percentage Correct (4),1 Trial analysis - Percentage Correct (5),1 Trial analysis - Percentage Correct (6),1 Trial analysis - Percentage Correct (7),1 Trial analysis - Percentage Correct (8),1 Trial analysis - Percentage Correct (9),1 Trial analysis - Percentage Correct (10),1 Trial analysis - Percentage Correct (11),1 Trial analysis - Percentage Correct (12),1 Trial analysis - Percentage Correct (13),1 Trial analysis - Percentage Correct (14),1 Trial analysis - Percentage Correct (15),1 Trial analysis - Percentage Correct (16),1 Trial analysis - Percentage Correct (17),1 Trial analysis - Percentage Correct (18),1 Trial analysis - Percentage Correct (19),1 Trial analysis - Percentage Correct (20),1 Trial analysis - Percentage Correct (21),1 Trial analysis - Percentage Correct (22),1 Trial analysis - Percentage Correct (23),1 Trial analysis - Percentage Correct (24),1 Trial analysis - Percentage Correct (25),1 Trial analysis - Percentage Correct (26),1 Trial analysis - Percentage Correct (27),1 Trial analysis - Percentage Correct (28),1 Trial analysis - Percentage Correct (29),1 Trial analysis - Percentage Correct (30),Correct touch latency mean,Incorrect Touch Latency mean,Correct Left touch latency mean,Correct Right touch latency mean,Correct Reward Collection mean,Sex,Day,Genotype
A_Mouse Pairwise Discrimination v3 - Reversal,Chamber 2 [Env. 18],6/25/2025 14:15,c2m1,1620,1544.99,30,11,73.333,32,61,2.115,12.797,1.096,1.753,1.364,1.773,1.699,1.589,1.675,1.689,1.356,1.193,5.031,1.65,1.849,1.746,1.267,2.006,1.871,1.127,3.837,2.371,1.126,0.983,1.074,1.27,1.39,2.468,4.372,1.897,1.191,3.986,3.308,2.053,3.01,1.42,1.236,1.442,1.313,5.094,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.096,1.753,1.773,1.589,1.689,1.356,1.193,1.65,1.871,1.127,1.126,0.983,1.39,4.372,1.897,2.115,12.797,1.364,1.699,1.675,5.031,1.849,1.746,1.267,2.006,3.837,2.371,1.074,1.27,2.468,1.24,1.375,0.865,0.894,1.137,1.101,1.321,0.979,1.125,0.978,1.34,1.26,2.241,0.952,0.928,0.999,0.898,0.976,1.173,19.98,1.938,0.961,2.594,1.039,1.063,0.998,0.932,0.995,1.205,0.814,33.547,71.399,99.099,125.251,156.465,211.674,270.195,299.83,327.641,375.544,401.247,534.599,593.612,674.995,712.777,743.203,816.962,878.836,1004.923,1049.05,1078.36,1112.918,1146.042,1172.332,1198.208,1232.688,1297.897,1326.166,1504.888,1544.989,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,1,1,1,0,1,0,1,1,100,100,100,100,0,0,100,100,100,100,100,100,0,100,100,0,0,0,100,100,100,100,100,100,100,0,100,0,100,100,2.248,2.359,1.658,2.838,1.81,F,15,+
A_Mouse Pairwise Must Touch Training v3,Chamber 3 [Env. 19],6/5/2025 15:55,c2m2,1620,732.036,30,0,0,86,153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.761,64.803,97.302,120.394,142.655,165.055,188.868,212,238.71,260.839,284.296,309,332.881,356.888,380.46,403.583,425.209,448.347,470.724,494.601,519.044,544.865,567.13,589.464,613.302,635.069,661.527,684.394,707.242,732.036,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,0,0,0,0,F,1,+
A_Mouse Pairwise Punish Incorrect Training v3,Chamber 3 [Env. 19],6/6/2025 15:40,c2m2,1620,759.442,30,0,96.667,65,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.127,53.109,77.17,102.35,126.321,150.45,174.604,203.458,231.428,255.537,280.077,304.558,328.903,352.314,375.958,399.625,427.216,451.04,475.192,498.034,520.041,545.119,568.694,593.163,618.5,649.521,679,708.299,733.291,759.441,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,100,100,100,100,0,0,0,0,0,F,2,+
A_Mouse Pairwise Discrimination v3,Chamber 3 [Env. 19],6/9/2025 16:31,c2m2,1620,1103.596,30,12,70,81,79,1.692,1.924,2.711,1.522,1.595,1.056,3.114,1.347,2.804,1.521,1.988,1.663,0.884,1.52,1.788,0.959,1.04,2.804,1.33,1.797,1.906,2.12,1.896,1.619,1.518,2.982,2.313,4.603,3.106,2.55,1.158,0.937,3.253,1.855,1.467,1.888,1.868,3.999,1.289,0.931,2.718,2.077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.692,1.522,1.056,1.347,2.804,1.988,1.04,2.804,1.33,1.797,1.906,1.896,1.518,2.313,2.55,1.924,2.711,1.595,3.114,1.521,1.663,0.884,1.52,1.788,0.959,2.12,1.619,2.982,4.603,3.106,0.866,0.807,0.78,1.006,0.918,0.723,0.859,0.763,0.86,0.747,0.751,0.77,0.813,0.758,1.004,0.803,0.843,0.846,0.771,0.671,0.733,0.907,0.774,0.777,0.769,0.805,0.746,0.836,0.743,0.89,28.858,56.387,104.639,129.754,154.41,178.412,203.572,232.182,342.178,366.318,394.27,470.032,497.929,547.052,575.669,606.159,658.848,708.302,765.005,814.083,837.724,867.82,897.632,920.345,942.684,967.342,998.671,1051.045,1077.511,1103.595,1,0,1,1,1,1,1,0,1,1,0,1,0,1,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,100,0,100,100,100,100,100,0,100,100,0,100,0,100,100,0,0,0,0,100,100,100,100,100,100,100,0,100,100,100,1.989,1.953,1.838,2.141,0.811,F,3,+
A_Mouse Pairwise Discrimination v3,Chamber 3 [Env. 19],6/10/2025 14:33,c2m2,1620,923.215,30,6,80,119,131,1.289,1.646,1.548,2.911,1.557,2.972,1.048,2.332,2.231,0.936,1.783,2.096,1.157,1.673,1.183,1.626,1.752,1.095,1.47,1.69,0.837,1.917,1.935,3.036,1.006,2.665,2.318,1.602,2.554,1.41,1.606,1.158,1.788,2.198,1.699,0.943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.646,1.548,1.557,2.332,2.231,1.157,1.673,1.183,1.626,1.47,0.837,1.935,1.006,2.318,1.41,1.289,2.911,2.972,1.048,0.936,1.783,2.096,1.752,1.095,1.69,1.917,3.036,2.665,1.602,2.554,1.011,0.785,0.806,0.812,0.898,0.954,0.871,1.034,0.798,0.866,0.841,0.991,0.955,0.892,0.806,1.161,1.079,1.001,0.836,0.822,0.933,0.774,0.797,0.977,0.923,0.996,1.034,0.874,1.209,0.954,33.19,80.87,105.937,132.533,157.183,184.352,212.249,263.79,316.339,339.201,363.856,389.525,412.774,443.294,495.433,523.701,573.647,597.405,620.743,646.262,674.34,723.654,748.345,774.097,796.762,820.469,846.127,870.579,897.638,923.214,0,1,1,1,1,1,0,0,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,100,100,100,100,100,0,0,100,100,100,100,100,0,100,0,100,100,100,100,0,100,100,100,100,100,100,100,100,100,1.776,1.565,1.595,1.956,0.923,F,4,+
A_Mouse Pairwise Discrimination v3,Chamber 3 [Env. 19],6/11/2025 14:41,c2m2,1620,754.267,30,0,100,62,67,1.355,2.924,1.009,1.666,1.81,2.162,3.384,1.422,1.553,1.993,1.1,2.103,1.435,1.972,1.41,1.781,1.146,1.937,2.477,2.021,1.226,1.171,2.052,3.058,1.263,2.115,2.295,2.103,1.209,1.538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.355,1.009,1.666,1.81,1.993,1.1,2.103,1.972,1.41,1.937,1.226,1.171,2.052,2.295,1.209,2.924,2.162,3.384,1.422,1.553,1.435,1.781,1.146,2.477,2.021,3.058,1.263,2.115,2.103,1.538,1.311,0.961,1.114,0.707,0.839,0.946,0.794,0.895,0.965,0.934,0.93,0.714,0.856,0.813,0.745,0.841,0.788,0.847,0.876,1.068,2.171,1.566,0.798,0.853,0.812,0.81,1.403,0.877,3.02,0.894,27.571,52.311,76.905,101.404,125.019,148.372,176.803,200.145,225.209,249.151,273.308,297.249,320.84,345.567,368.595,392.327,415.501,439.007,464.692,490.019,514.783,541.32,564.883,590.457,613.647,639.618,668.763,694.791,729.319,754.266,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,1.823,0,1.621,2.025,1.038,F,5,+
A_Mouse Pairwise Discrimination v3 - Reversal,Chamber 3 [Env. 19],6/12/2025 15:58,c2m2,1620,1620,8,48,37.5,38,79,2.718,4.804,1.461,1.691,2.745,1.69,1.32,,,,,,,,,,,,,,,,,,,,,,,,1.465,0.986,1.279,0.975,1.484,0.972,1.026,1.552,1.068,1.413,1.155,2.254,1.812,1.276,1.014,1.436,2.765,1.013,1.173,1.009,0.86,5.187,3.539,0.918,1.141,2.385,1.425,2.193,1.291,2.558,1.852,1.295,2.538,1.085,1.758,9.657,1.292,4.034,3.826,4.687,2.288,0.877,2.289,1.504,2.45,1.072,2.253,1.983,1.996,,,,,1.461,1.32,,,,,,,,,,,,,,2.718,4.804,1.691,2.745,1.69,,,,,,,,,,,0.8,0.91,0.797,0.766,0.825,0.776,0.845,,,,,,,,,,,,,,,,,,,,,,,,33.116,169.171,1174.577,1285.646,1310.588,1334.659,1363.879,1548.326,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,100,100,100,0,0,,,,,,,,,,,,,,,,,,,,,,,2.347,1.987,1.391,2.73,0.817,F,6,+
A_Mouse Pairwise Discrimination v3 - Reversal,Chamber 3 [Env. 19],6/13/2025 13:59,c2m2,1620,1620,11,42,18.182,107,113,1.397,4.393,2.197,2.49,1.91,1.693,2.402,2.896,8.489,3.141,,,,,,,,,,,,,,,,,,,,,2.875,2.081,2.381,1.785,3.408,2.467,1.886,2.165,4.959,3.894,1.239,1.677,1.974,1.721,2.945,3.481,2.517,0.975,3.112,1.619,1.653,2.287,1.92,3.754,2.801,1.652,1.947,2.25,1.561,2.912,1.955,2.912,2.391,2.622,3.376,2.954,1.956,1.868,2.243,1.875,10.314,6.284,2.249,,,,,,,,,,,1.397,4.393,1.91,1.693,2.402,,,,,,,,,,,2.197,2.49,2.896,8.489,3.141,,,,,,,,,,,0.953,1.475,0.878,1.256,0.958,1.18,1.554,0.911,0.883,1.145,,,,,,,,,,,,,,,,,,,,,34.147,173.724,407.089,437.424,520.13,707.595,876.279,944.196,1178.205,1270.107,1299.21,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,0,0,100,0,0,0,0,0,0,100,0,,,,,,,,,,,,,,,,,,,,3.101,2.672,2.359,3.843,1.119,F,7,+
A_Mouse Pairwise Discrimination v3 - Reversal,Chamber 3 [Env. 19],6/16/2025 16:08,c2m2,1620,1620,11,41,36.364,61,115,1.853,1.806,2.146,3.879,2.195,3.767,1.325,2.049,1.684,4.502,3.805,,,,,,,,,,,,,,,,,,,,2.649,1.777,3.37,1.754,2.444,1.994,2.617,2.674,3.988,1.782,3.484,4.522,3.409,2.758,3.373,4.687,3.441,2.815,2.717,1.688,2.269,3.931,1.798,3.14,3.722,2.93,4.165,1.734,2.577,1.619,2.547,1.554,1.792,2.256,3.083,5.108,2.118,2.047,1.55,2.224,2.947,2.208,,,,,,,,,,,,2.146,1.325,2.049,1.684,4.502,,,,,,,,,,,1.853,1.806,3.879,2.195,3.767,3.805,,,,,,,,,,0.663,0.742,1.092,0.772,0.835,1.036,0.839,0.98,0.937,0.84,0.911,,,,,,,,,,,,,,,,,,,,32.308,81.699,110.498,611.62,642.12,695.54,718.991,749.842,1048.425,1163.257,1216.848,,,,,,,,,,,,,,,,,,,,0,1,0,1,0,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,0,100,0,100,0,100,100,0,0,0,0,,,,,,,,,,,,,,,,,,,,2.637,2.744,2.341,2.884,0.877,F,8,+
A_Mouse Pairwise Discrimination v3 - Reversal,Chamber 3 [Env. 19],6/17/2025 15:21,c2m2,1620,1549.051,30,24,60,62,92,2.579,1.84,3.498,1.106,1.851,2.922,2.755,3.348,3.842,2.072,1.557,3.441,1.172,1.839,2.719,1.516,3.263,2.635,2.359,2.133,1.861,2.267,3.967,1.593,3.687,2.431,2.252,4.004,2.061,,1.729,1.975,3.682,4.262,2.561,1.596,2.528,0.955,3.294,2.122,2.515,2.609,2.477,2.617,4.24,1.814,3.082,5.403,3.153,2.015,2.29,1.779,2.585,2.08,2.347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.579,1.106,1.851,2.755,2.072,1.557,3.441,1.172,1.839,3.263,1.861,2.267,1.593,2.061,,1.84,3.498,2.922,3.348,3.842,2.719,1.516,2.635,2.359,2.133,3.967,3.687,2.431,2.252,4.004,0.945,0.773,0.878,0.834,0.793,0.87,1.762,0.941,0.961,0.909,0.81,0.861,0.985,0.858,1.054,0.877,0.884,0.922,0.945,0.802,1.785,2.676,0.896,0.906,0.941,1.025,0.948,0.977,1.172,,26.302,53.248,80.032,112.996,172.67,328.498,359.315,415.638,504.192,536.394,566.151,617.121,639.765,664.311,692.983,771.523,801.093,825.812,852.203,876.117,905.047,1085.036,1154.371,1282.355,1308.17,1336.63,1384.255,1411.639,1439.423,1549.05,1,1,1,0,0,1,0,0,1,1,0,1,1,1,0,1,1,1,1,1,0,0,0,1,1,0,1,1,0,0,100,100,100,0,0,100,0,0,100,100,0,100,100,100,0,100,100,100,100,100,0,0,0,100,100,0,100,100,0,0,2.502,2.628,2.101,2.877,1.034,F,9,+
A_Mouse Pairwise Discrimination v3 - Reversal,Chamber 3 [Env. 19],6/18/2025 15:38,c2m2,1620,1262.886,30,17,56.667,45,56,2.498,2.076,3.081,2.323,2.449,1.859,1.257,1.606,1.724,1.623,1.332,2.311,3.901,1.683,1.672,2.11,2.187,1.919,1.705,4.728,2.425,1.821,1.559,1.812,2.597,4.033,1.926,1.815,2.531,,1.109,2.122,1.217,1.987,1.825,2.936,3.374,4.566,2.222,2.003,1.542,2.009,2.394,1.963,5.181,1.65,2.679,3.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.498,1.859,1.257,1.606,1.623,1.332,2.311,1.683,1.672,2.187,1.812,4.033,1.926,1.815,,2.076,3.081,2.323,2.449,1.724,3.901,2.11,1.919,1.705,4.728,2.425,1.821,1.559,2.597,2.531,0.801,0.808,0.944,1.486,0.998,0.92,0.908,0.814,0.859,0.747,1.032,0.897,0.85,0.901,0.847,1.043,0.896,0.834,1.113,1.729,1.588,0.869,0.843,0.914,1.077,0.935,0.822,0.775,0.993,,28.884,56.18,103.555,133.03,184.114,242.87,295.495,375.053,399.021,427.993,568.728,621.599,671.329,695.708,718.557,747.265,799.146,848.305,874.555,902.197,927.748,968.713,1000.515,1077.148,1103.823,1130.14,1158.805,1206.554,1231.051,1262.884,1,0,1,0,0,0,0,1,1,0,0,0,1,1,1,0,0,1,1,1,1,1,0,1,1,1,0,1,1,0,100,0,100,0,0,0,0,100,100,0,0,0,100,100,100,0,0,100,100,100,100,100,0,100,100,100,0,100,100,0,2.226,2.444,1.972,2.463,0.974,F,10,+
A_Mouse Pairwise Discrimination v3 - Reversal,Chamber 3 [Env. 19],6/19/2025 16:18,c2m2,1620,843.178,30,3,90,45,73,2.43,2.132,2.136,2.79,1.651,2.191,1.297,2.156,1.657,1.353,2.911,3.052,1.295,1.391,1.334,2.6,2.115,2.681,2.561,1.124,2.578,1.51,2.204,1.776,2.019,1.726,2.384,1.474,1.823,,2.187,2.185,2.013,2.184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.132,2.136,1.651,1.657,1.353,1.295,1.391,1.334,2.115,1.124,2.204,1.776,2.019,1.726,1.474,2.43,2.79,2.191,1.297,2.156,2.911,3.052,2.6,2.681,2.561,2.578,1.51,2.384,1.823,,0.863,0.844,0.847,0.919,0.779,0.843,0.812,1.069,0.903,0.817,0.831,0.906,0.987,0.892,0.899,0.839,1.008,0.831,3.975,0.924,0.929,0.82,1.016,0.845,0.829,0.861,0.913,0.861,1.571,,25.129,62.066,86.741,111.916,135.86,160.029,188.06,212.809,236.129,259.656,284.554,309.463,338.543,415.955,439.484,465.164,489.301,516.517,544.262,567.459,592.53,616.72,640.85,664.428,688.868,712.979,737.316,760.784,788.616,843.166,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,100,100,100,100,100,100,100,100,100,100,100,100,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,0,2.012,2.142,1.692,2.355,1.015,F,11,+
A_Mouse Pairwise Discrimination v3 - Reversal,Chamber 3 [Env. 19],6/20/2025 15:56,c2m2,1620,1085.877,30,9,73.333,58,69,1.312,2.811,2.197,3.32,2.479,3.126,1.453,2.264,1.722,2.446,2.846,2.377,2.363,1.695,2.231,1.914,2.188,2.229,2.203,3.127,1.723,2.528,1.792,2.492,2.563,2.391,2.642,3.45,1.871,,2.34,2.678,1.765,2.031,3.107,1.876,1.757,2.114,2.354,2.104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.312,2.811,2.479,2.264,1.722,2.377,2.363,1.695,2.231,2.229,1.723,2.528,1.792,2.563,,2.197,3.32,3.126,1.453,2.446,2.846,1.914,2.188,2.203,3.127,2.492,2.391,2.642,3.45,1.871,0.855,0.841,0.863,0.862,0.841,1.178,0.906,1.024,1.01,0.992,0.878,0.977,0.967,0.801,0.909,0.961,0.858,0.899,0.959,0.996,0.832,1.046,0.866,1.114,0.941,0.948,0.977,0.976,1.512,,33.445,123.723,148.938,174.337,199.101,224.801,253.153,303.628,326.728,351.972,378.157,407.982,459.458,483.512,508.291,535.856,559.765,584.37,609.976,635.136,666.495,716.714,761.459,809.515,833.945,891.714,944.434,974.518,1057.166,1085.876,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,0,1,0,0,100,100,100,100,100,0,100,100,100,100,0,100,100,100,100,100,100,100,100,0,100,0,100,100,0,100,0,100,0,2.336,2.213,2.149,2.511,0.958,F,12,+
A_Mouse Pairwise Discrimination v3 - Reversal,Chamber 3 [Env. 19],6/23/2025 16:52,c2m2,1620,1620.006,29,18,62.069,13,57,1.906,6.517,2.424,1.984,6.126,1.342,4.627,1.576,2.003,1.719,3.272,2.101,1.341,1.975,1.751,5.899,1.777,2.333,2.445,1.987,4.513,1.951,2.217,2.076,1.905,1.849,1.714,1.68,,,1.496,3.64,2.73,2.451,2.632,1.606,1.137,3.603,6.444,1.015,1.061,1.39,2.193,1.223,0.909,3.345,1.247,1.364,2.782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.906,2.424,6.126,1.342,1.576,2.101,1.341,1.777,2.445,1.987,4.513,1.951,2.217,1.849,1.714,6.517,1.984,4.627,2.003,1.719,3.272,1.975,1.751,5.899,2.333,2.076,1.905,1.68,,,1.044,3.219,1.08,0.878,0.959,0.859,0.93,1.493,0.919,0.89,0.964,0.945,1.047,0.873,0.872,1.15,0.81,0.952,0.991,1.045,0.918,0.992,1.019,1.396,0.867,0.993,1.972,0.812,,,28.295,69.967,193.152,248.258,284.174,393.335,428.151,586.167,618.748,671.286,725.786,783.2,864.996,892.728,1041.794,1101.337,1133.941,1170.213,1207.723,1234.905,1264.05,1322.537,1351.13,1407.781,1437.909,1468.169,1498.11,1547.301,1594.064,,1,0,0,1,1,1,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,,100,0,0,100,100,100,0,100,0,0,0,0,100,0,0,100,100,100,100,100,100,100,0,100,100,100,100,100,0,,2.608,2.225,2.351,2.903,1.103,F,13,+
