Genotype,N,Mean,Median,SD,Min,Q1,Q3,Max,IQR
A1D_Het,7,13.801526145306813,14.24731182795699,10.627556150313142,0.0,5.835543766578249,23.025997943125017,24.640287769784173,17.190454176546766
A1D_KO,7,18.820805882643217,21.393034825870647,8.967247933746004,0.0,18.370998116760827,23.948162202412256,25.71428571428571,5.577164085651429
A1D_Wt,8,7.758103524735563,6.415478615071284,8.446815639917757,0.0,0.0,15.120967741935484,18.75,15.120967741935484
B6,22,8.906592649607877,0.0,10.864479906501296,0.0,0.0,20.67865337447583,27.450980392156865,20.67865337447583
C3H x B6,10,11.229046501744035,12.30432905106337,11.20585891945472,0.0,0.0,18.910429897998466,31.899641577060933,18.910429897998466
