genotype_new,N,Mean,Median,SD,Min,Max
A1D_Het,5,-0.5677,-0.8093,0.3692,-0.8806,-0.1622
A1D_KO,1,-0.5407,-0.5407,,-0.5407,-0.5407
A1D_Wt,4,-0.5838,-0.5726,0.3231,-0.8868,-0.3033
B6,14,-0.6268,-0.7242,0.3894,-1.0,0.338
C3H x B6,10,-0.5661,-0.5951,0.3095,-1.0,-0.013
