animal_id,genotype,p1_accuracy,p2_accuracy,p1_wsls,p2_wsls,accuracy_change,wsls_change
32,+,0.6621634798917825,0.23834808259587018,1.2122919177042888,0.84090174531351,-0.42381539729591233,-0.37139017239077876
34,+,0.6494688066973806,0.23866666666666667,1.076978576978577,1.3161057692307692,-0.4108021400307139,0.23912719225219226
101,+/-,0.7588249401305137,0.4566666666666667,0.8189132370532305,0.9883333333333333,-0.302158273463847,0.1694200962801028
72,+/+,0.7308612254407082,0.49601063829787234,0.8842189054726369,0.6757164404223228,-0.23485058714283585,-0.2085024650503141
73,+/-,0.6108828744110415,0.49166666666666664,1.261088669882682,1.0999025341130604,-0.11921620774437486,-0.1611861357696216
42,+/+,0.7164527973351502,0.6083916083916083,1.1285159285159285,0.7556221889055473,-0.10806118894354189,-0.3728937396103812
11,+,0.6307893020221788,0.24395857307249713,1.0401826673013115,0.9268048128342246,-0.3868307289496816,-0.11337785446708692
81,+/-,0.5765144150373178,0.3003246753246753,1.0904508043396932,1.017775416802877,-0.2761897397126425,-0.07267538753681624
82,-/-,0.8026108611662609,0.3538812785388128,1.4872503840245777,1.0095238095238095,-0.4487295826274481,-0.47772657450076816
51,+/+,0.4964112464112464,0.43351648351648353,1.1978396220464598,0.8846153846153846,-0.06289476289476287,-0.3132242374310752
23,+,0.8045576276425944,0.5696852922286448,1.0817371981425732,0.9729729729729728,-0.23487233541394958,-0.10876422516960038
25,+,0.7276899429073342,0.25217391304347825,0.9993094308622675,0.9870129870129869,-0.475516029863856,-0.012296443849280636
91,+/+,0.6212644695387447,0.18162393162393162,1.2026281828087668,1.1197661934868186,-0.43964053791481306,-0.08286198932194822
61,+/-,0.5998642621679271,0.25160493827160496,0.9844528849235239,1.3953373015873016,-0.34825932389632214,0.41088441666377773
62,+/-,0.662894834633965,0.31655011655011656,1.4045723266158319,1.2393048128342246,-0.3463447180838485,-0.1652675137816073
31,+,0.5559623794537343,0.7331081081081081,1.1853331428044072,0.9788791889608561,0.17714572865437384,-0.20645395384355103
