,is_mixed,biased_self_transition,engaged_to_biased,biased_to_lapsed,lapsed_to_biased
103_cohortF,0.0,0.9444444444444444,0.04819277108433735,0.05555555555555555,0.0
41_cohortF,0.0,0.9840425531914894,0.0,0.010638297872340425,0.07142857142857142
63_cohortF,1.0,0.8484848484848485,0.14728682170542637,0.14285714285714285,0.14150943396226415
64_cohortF,0.0,0.935672514619883,0.022364217252396165,0.0,0.8
82_cohortF,1.0,0.967479674796748,0.07246376811594203,0.0,0.0
92_cohortF,0.0,0.9409090909090909,0.02962962962962963,0.0,0.1956521739130435
93_cohortF,1.0,0.972972972972973,0.015625,0.003861003861003861,0.08771929824561403
