,n_animals,mean_engaged,mean_biased,mean_lapsed,std_engaged,std_biased,std_lapsed
A1D_Het,7.0,0.1524614251425116,0.41479036629381005,0.4327482085636783,0.11810153573774923,0.22190426396707263,0.24237967923722006
A1D_KO,7.0,0.33396778204264377,0.43481486929097535,0.23121734866638088,0.15166301505710775,0.14839780418454815,0.22734678367669134
A1D_Wt,8.0,0.3033624516267802,0.4531865499259011,0.24345099844731863,0.13420675773677943,0.22757263211148918,0.18133436220209967
B6,22.0,0.35539058930078854,0.28442104524349304,0.3601883654557184,0.18065389999762407,0.14670189553386706,0.1822038717459697
C3H x B6,10.0,0.36872230707915393,0.3362339906113013,0.2950437023095448,0.13877955939468267,0.19576125646838075,0.1434944772008073
