genotype_new,N,Mean,Median,SD,Min,Max
A1D_Het,7,0.891,1.173,0.621,0.0,1.401
A1D_KO,7,1.396,1.357,0.804,0.0,2.57
A1D_Wt,8,1.181,0.542,1.585,0.0,4.317
B6,22,0.79,0.0,0.933,0.0,2.731
C3H x B6,10,0.881,1.201,0.795,0.0,1.954
