genotype_new,N,Mean,Median,SD,Min,Max
A1D_Het,7,13.802,14.247,10.628,0.0,24.64
A1D_KO,7,18.821,21.393,8.967,0.0,25.714
A1D_Wt,8,7.758,6.415,8.447,0.0,18.75
B6,22,8.907,0.0,10.864,0.0,27.451
C3H x B6,10,11.229,12.304,11.206,0.0,31.9
