Genotype,N,Early_Mean,Late_Mean,Mean_Change,Median_Change,Wilcoxon_p,Significant
A1D_Het,7,0.5901309523809524,0.3466659183673469,-0.2434650340136055,-0.2309533333333333,0.015625,True
A1D_KO,4,0.42640374999999997,0.20837017857142856,-0.21803357142857138,-0.23554940476190467,0.125,False
A1D_Wt,6,0.6548608333333333,0.31104428571428566,-0.3438165476190476,-0.35555714285714296,0.03125,True
B6,11,0.6086759090909091,0.24775623376623376,-0.36091967532467534,-0.34444714285714284,0.0009765625,True
C3H x B6,2,0.5082246153846155,0.3615453571428571,-0.14667925824175831,-0.14667925824175831,0.5,False
