genotype,n_animals,n_W,n_F,accuracy_mean,accuracy_sem,wsls_mean,wsls_sem,engaged_mean,engaged_sem
+,14,8,6,0.43385678355905866,0.03578892092260267,1.0728044770654566,0.0432928813292708,0.06976761656414994,0.04327222274942024
+/+,4,0,4,0.37486322770520886,0.05021800656227959,0.8414012920117249,,0.0544017094017094,0.04037339870459312
+/-,5,0,5,0.4050000000000001,0.07186020379103367,1.1171008613963958,0.04956239115640301,0.10833333333333332,0.10833333333333332
-,10,10,0,0.48895630577426497,0.025038349136943534,1.0602763458266442,0.025922611402028107,0.062377798801639864,0.04284067306322579
-/-,1,0,1,0.5533333333333335,,,,0.0,
