Cohort,Genotype,N,State,Accuracy_Mean,Accuracy_SD,WSLS_Mean,WSLS_SD,SideBias_Mean,SideBias_SD,Occupancy_Mean,Occupancy_SD,DwellTime_Mean,DwellTime_SD
W,+,9,0,0.717,0.154,1.205,0.364,0.306,0.172,0.419,0.195,57.297,62.399
W,+,9,1,0.601,0.152,1.147,0.821,0.499,0.169,0.252,0.137,25.368,19.104
W,+,9,2,0.640,0.213,1.020,0.309,0.437,0.232,0.329,0.196,32.620,28.957
W,-,10,0,0.666,0.134,1.127,0.351,0.355,0.153,0.369,0.132,23.076,17.882
W,-,10,1,0.678,0.241,1.341,0.540,0.412,0.244,0.336,0.186,22.818,15.834
W,-,10,2,0.689,0.125,1.203,0.338,0.448,0.230,0.295,0.136,28.029,21.086
